Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,IRQ,Iraq,1,9.85779599504447,1243,3206,6058,272
,PAK,Pakistan,2,9.0019725007018,363,996,1705,26
,NGA,Nigeria,3,8.92098641839585,143,2101,834,365
,AFG,Afghanistan,4,8.89986138304745,356,1143,1531,19
,SYR,Syria,5,8.30623730391227,44,545,423,43
,YEM,Yemen,6,7.97955827045849,145,432,286,2
,SOM,Somalia,7,7.67883911695263,116,256,183,3
,IND,India,8,7.48804584292142,121,168,190,25
,THA,Thailand,9,7.38503124914564,156,136,350,0
,KEN,Kenya,10,7.25595736026812,49,222,315,22
,EGY,Egypt,11,7.21626370114541,145,200,335,0
,COL,Colombia,12,7.1276575005323,112,59,232,14
,RUS,Russia,13,6.95911985526733,64,44,48,0
,PHL,Philippines,14,6.91121369469485,46,60,153,4
,LBY,Libya,15,6.66306198470036,114,94,188,8
,LBN,Lebanon,16,6.55179493013207,57,69,281,2
,TUR,Turkey,17,6.46989427809296,10,7,5,9
,CHN,China,18,6.2751289105221,11,72,332,0
,CMR,Cameroon,19,6.17644661419383,15,120,16,13
,DZA,Algeria,20,6.12956806847972,10,33,0,0
,MLI,Mali,21,5.97705352309634,24,36,71,7
,TUN,Tunisia,22,5.37676323416962,11,28,31,0
,ISR,Israel,23,5.13061858374059,17,5,28,0
,COD,Democratic Republic of the Congo,24,5.06342108447788,1,0,6,0
,USA,United States of America,25,5.02775710004577,6,13,15,0
,IRN,Iran,26,4.98812926191603,6,4,3,5
,BHR,Bahrain,27,4.86982855993835,30,6,22,0
,IDN,Indonesia,28,4.69335770949187,4,3,6,0
,MMR,Myanmar,29,4.63559176266967,2,0,2,0
,PER,Peru,30,4.552029619684,6,3,11,9
,ETH,Ethiopia,31,4.53164865373292,1,9,0,0
,GBR,United Kingdom,32,4.4970523486036,25,0,2,0
,SDN,Sudan,33,4.47678285129366,1,1,4,0
,NER,Niger,34,4.38354929772852,1,12,0,0
,NOR,Norway,35,4.37973363060897,0,0,0,0
,SAU,Saudi Arabia,36,4.19329167956085,8,7,13,0
,BGD,Bangladesh,37,4.185120352987,4,2,2,0
,PSE,Palestine,38,4.05624774971634,4,1,3,0
,CAF,Central African Republic,39,4.0546580575501,1,6,10,0
,CHL,Chile,40,3.94540961733375,15,0,17,0
,TZA,Tanzania,41,3.92716437740575,8,5,10,0
,PRY,Paraguay,42,3.90285510151115,3,0,0,0
,NPL,Nepal,43,3.89810087131347,1,0,2,0
,NIC,Nicaragua,44,3.89714688081969,1,5,24,0
,RWA,Rwanda,45,3.80772717489635,0,0,0,0
,FRA,France,46,3.73603349738636,3,0,16,0
,MDG,Madagascar,47,3.73142126088077,1,1,33,0
,TKM,Turkmenistan,48,3.60997794698564,2,6,0,0
,SSD,South Sudan,49,3.59926830800999,2,2,0,0
,MOZ,Mozambique,50,3.58842437539301,3,2,11,0
,GRC,Greece,51,3.58020124882344,3,0,0,0
,BDI,Burundi,52,3.53352083228869,0,0,0,0
,UKR,Ukraine,53,3.48109312645987,9,0,3,0
,UGA,Uganda,54,3.446433787525,0,0,0,0
,CIV,Cote d' Ivoire,55,3.38997816433099,0,0,0,0
,BLR,Belarus,56,3.35852770586791,0,0,0,0
,TJK,Tajikistan,57,3.2072396882827,1,0,0,0
,MYS,Malaysia,58,3.13199291989236,4,1,1,5
,GEO,Georgia,59,3.1013984372439,0,0,0,0
,BEL,Belgium,60,3.07463760930735,1,3,1,0
,BGR,Bulgaria,60,3.07463760930735,0,0,0,0
,CAN,Canada,62,2.88781991675726,2,2,1,0
,MAR,Morocco,63,2.85021432700837,0,0,0,0
,KSV,Kosovo,64,2.83730673970444,1,0,3,0
,KAZ,Kazakhstan,65,2.78365901162542,0,0,0,0
,AUS,Australia,66,2.72646182003247,1,2,0,0
,GTM,Guatemala,67,2.71155123867754,0,0,0,0
,DJI,Djibouti,68,2.66521199549208,1,0,11,0
,KGZ,Kyrgyz Republic,69,2.48503655924097,0,0,0,0
,ARE,United Arab Emirates,70,2.45014106978246,2,1,0,0
,IRL,Ireland,71,2.31852676052605,3,0,0,0
,DEU,Germany,72,2.28223644448305,1,0,0,0
,ITA,Italy,73,2.04976852468545,0,0,0,0
,AGO,Angola,74,2.01682007122644,2,0,0,0
,ARG,Argentina,75,1.99125784680112,0,0,0,0
,MRT,Mauritania,76,1.98256639379373,0,0,0,0
,ERI,Eritrea,77,1.97378670117656,0,0,0,0
,MEX,Mexico,78,1.89048030040625,0,0,0,0
,ESP,Spain,79,1.84047838100646,2,0,0,0
,VEN,Venezuela,80,1.79828502296523,0,0,0,0
,SRB,Serbia,81,1.75392697719821,0,0,0,0
,LKA,Sri Lanka,82,1.61872010018452,0,0,0,0
,JOR,Jordan,83,1.42574727634863,0,0,0,0
,SLV,El Salvador,84,1.33832013343272,0,0,0,0
,BIH,Bosnia and Herzegovina,84,1.33832013343272,0,0,0,0
,SLE,Sierra Leone,86,1.31972173286483,0,0,0,0
,HUN,Hungary,87,1.24105004001805,1,0,0,0
,GNB,Guinea-Bissau,87,1.24105004001805,0,0,0,0
,MKD,Macedonia (FYR),87,1.24105004001805,1,0,0,0
,AZE,Azerbaijan,90,1.05831156396975,0,0,0,0
,HRV,Croatia,90,1.05831156396975,0,0,0,0
,KHM,Cambodia,92,0.950071442336124,0,0,0,0
,EST,Estonia,93,0.890406938670335,0,0,0,0
,ECU,Ecuador,94,0.826318935360223,0,0,0,0
,CHE,Switzerland,95,0.681851850109894,0,0,0,0
,KWT,Kuwait,96,0.508313378859537,0,0,0,0
,SEN,Senegal,96,0.508313378859537,0,0,0,0
,HND,Honduras,96,0.508313378859537,0,0,0,0
,TCD,Chad,99,0.406455517152519,0,0,0,0
,SWE,Sweden,100,0.290978597681926,0,0,0,0
,BRA,Brazil,100,0.290978597681926,0,0,0,0
,CYP,Cyprus,100,0.290978597681926,0,0,0,0
,DNK,Denmark,100,0.290978597681926,0,0,0,0
,UZB,Uzbekistan,100,0.290978597681926,0,0,0,0
,ALB,Albania,105,0.226890594371813,0,0,0,0
,SVK,Slovakia,106,0.157670277511823,0,0,0,0
,MNE,Montenegro,106,0.157670277511823,0,0,0,0
,OMN,Oman,106,0.157670277511823,0,0,0,0
,PAN,Panama,106,0.157670277511823,0,0,0,0
,BFA,Burkina Faso,110,0.0,0,0,0,0
,NZL,New Zealand,110,0.0,0,0,0,0
,AUT,Austria,110,0.0,0,0,0,0
,JPN,Japan,110,0.0,0,0,0,0
,LAO,Laos,110,0.0,0,0,0,0
,BEN,Benin,110,0.0,0,0,0,0
,NLD,Netherlands,110,0.0,0,0,0,0
,URY,Uruguay,110,0.0,0,0,0,0
,ZAF,South Africa,110,0.0,0,0,0,0
,ROU,Romania,110,0.0,0,0,0,0
,FIN,Finland,110,0.0,0,0,0,0
,LTU,Lithuania,110,0.0,0,0,0,0
,VNM,Vietnam,110,0.0,0,0,0,0
,CZE,Czech Republic,110,0.0,0,0,0,0
,GAB,Gabon,110,0.0,0,0,0,0
,TWN,Taiwan,110,0.0,0,0,0,0
,POL,Poland,110,0.0,0,0,0,0
,ARM,Armenia,110,0.0,0,0,0,0
,MDA,Moldova,110,0.0,0,0,0,0
,MUS,Mauritius,110,0.0,0,0,0,0
,TGO,Togo,110,0.0,0,0,0,0
,BOL,Bolivia,110,0.0,0,0,0,0
,BTN,Bhutan,110,0.0,0,0,0,0
,BWA,Botswana,110,0.0,0,0,0,0
,COG,Republic of the Congo,110,0.0,0,0,0,0
,CRI,Costa Rica,110,0.0,0,0,0,0
,CUB,Cuba,110,0.0,0,0,0,0
,DOM,Dominican Republic,110,0.0,0,0,0,0
,GHA,Ghana,110,0.0,0,0,0,0
,GIN,Guinea,110,0.0,0,0,0,0
,GMB,The Gambia,110,0.0,0,0,0,0
,GNQ,Equatorial Guinea,110,0.0,0,0,0,0
,GUY,Guyana,110,0.0,0,0,0,0
,HTI,Haiti,110,0.0,0,0,0,0
,ISL,Iceland,110,0.0,0,0,0,0
,JAM,Jamaica,110,0.0,0,0,0,0
,KOR,South Korea,110,0.0,0,0,0,0
,LBR,Liberia,110,0.0,0,0,0,0
,LSO,Lesotho,110,0.0,0,0,0,0
,LVA,Latvia,110,0.0,0,0,0,0
,MNG,Mongolia,110,0.0,0,0,0,0
,MWI,Malawi,110,0.0,0,0,0,0
,NAM,Namibia,110,0.0,0,0,0,0
,PNG,Papua New Guinea,110,0.0,0,0,0,0
,PRK,North Korea,110,0.0,0,0,0,0
,PRT,Portugal,110,0.0,0,0,0,0
,QAT,Qatar,110,0.0,0,0,0,0
,SGP,Singapore,110,0.0,0,0,0,0
,SVN,Slovenia,110,0.0,0,0,0,0
,SWZ,Eswatini,110,0.0,0,0,0,0
,TLS,Timor-Leste,110,0.0,0,0,0,0
,TTO,Trinidad and Tobago,110,0.0,0,0,0,0
,ZMB,Zambia,110,0.0,0,0,0,0
,ZWE,Zimbabwe,110,0.0,0,0,0,0
